#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
244,15596175,McIntosh,659,Male,67,6,1,1,45071,1
250,15772423,Liao,739,Male,54,8,1,1,134421,1
253,15793726,Matveyeva,681,Female,79,0,2,0,170969,0
262,15673481,Morton,726,Female,48,6,1,1,64323,0
277,15694456,Toscani,756,Male,62,3,1,1,11199,1
278,15767339,Chiazagomekpere,777,Female,53,10,2,1,189993,0
280,15782210,K'ung,714,Male,46,1,1,1,152168,1
299,15650068,Johnson,511,Male,58,0,1,1,162600,0
309,15773972,Balashov,614,Male,50,4,1,1,127166,1
311,15712287,Pokrovskii,652,Female,80,4,2,1,188603,0
314,15797960,Skinner,806,Female,59,0,1,1,182823,0
317,15662736,Doyle,559,Male,49,2,1,1,120541,1
321,15810834,Gordon,525,Female,57,2,1,1,64448,0
328,15736008,Hunter,644,Female,46,9,1,1,108761,1
331,15598493,Beach,656,Male,50,7,2,0,72143,0
343,15681081,Marrero,545,Female,47,5,2,1,38970,0
348,15747358,Russell,643,Male,59,3,1,1,32172,0
357,15611759,Simmons,850,Female,57,8,2,1,132298,0
360,15592386,Campbell,520,Male,58,3,2,0,32790,0
363,15706365,Bianchi,648,Female,50,9,1,1,189543,0
365,15676715,Madukaego,640,Male,68,9,2,1,199493,0
372,15774696,Cole,640,Female,75,1,2,0,113429,0
381,15713578,Farrell,483,Female,50,9,2,1,111020,0
386,15720910,Black,560,Female,66,9,1,1,15928,0
387,15721181,Oliver,611,Male,46,6,2,1,45886,0
388,15776433,Greco,730,Male,62,2,2,1,186490,0
393,15573456,Cunningham,648,Male,46,9,2,1,77406,1
400,15646372,Outhwaite,616,Female,66,1,1,1,183841,1
401,15690452,Tung,605,Male,52,1,1,1,108887,0
403,15781589,Carpenter,751,Male,52,8,2,0,179292,0
407,15578045,Mitchell,538,Female,49,9,1,0,173779,1
417,15720559,Heath,487,Female,61,5,1,0,11384,1
419,15659843,Li,643,Female,46,6,2,0,106782,0
421,15810418,T'ang,756,Female,60,3,1,1,93524,1
431,15597602,Nwachinemelu,619,Male,57,3,1,1,72468,1
436,15581197,Ricci,762,Female,51,3,1,0,85579,0
444,15732628,Ugoji,745,Male,46,2,1,1,118024,0
445,15787470,Parkinson,553,Male,47,3,1,0,145704,1
450,15658169,Cook,778,Female,47,6,2,1,124695,0
476,15591986,Johnston,621,Male,46,6,1,0,34581,1
485,15676519,George,615,Male,61,9,2,1,150228,1
490,15807709,Kirby,714,Female,55,9,1,1,100128,0
494,15725679,Hsia,531,Female,47,6,1,0,194998,1
500,15677020,Selezneva,570,Female,58,8,1,0,116504,1
502,15715941,Lueck,692,Male,54,5,2,1,88722,0
503,15714485,Udinese,774,Male,60,5,1,1,74135,1
515,15682048,Pisano,605,Female,51,3,1,1,67111,1
517,15752081,Vassiliev,468,Female,56,10,3,0,62257,1
519,15775912,Mazzanti,698,Male,48,4,2,0,177816,1
520,15745417,Knipe,707,Male,58,6,1,0,126471,0
522,15653547,Madukwe,850,Male,56,7,1,1,119175,0
525,15763274,Wu,661,Male,48,3,1,0,96463,0
529,15653849,Lu,572,Female,48,3,1,1,38412,1
531,15736112,Walton,519,Female,57,2,2,1,29872,0
536,15776780,He,608,Male,59,1,1,1,70650,1
539,15794142,Ferreira,564,Female,62,5,3,0,18261,1
544,15705953,Kodilinyechukwu,721,Male,51,0,1,1,109078,1
545,15802593,Little,504,Female,49,7,3,0,87822,1
549,15595440,Kryukova,508,Male,49,7,2,1,75808,0
552,15657284,Day,674,Male,47,6,1,1,2079,1
556,15775318,Lu,590,Female,51,3,3,0,191932,1
559,15717046,Wentworth-Shields,741,Male,53,3,2,1,38914,0
560,15571816,Ritchie,850,Female,70,5,1,1,705,0
562,15800440,Power,650,Male,61,1,1,0,82971,0
564,15665956,Pendergrass,509,Female,46,1,1,1,71245,1
567,15651674,Billson,438,Female,54,2,1,0,191763,1
568,15689614,Teng,687,Female,63,1,1,1,37939,0
574,15607312,Ch'ang,648,Female,49,10,2,1,159836,1
583,15576352,Revell,586,Female,57,3,2,0,6058,0
585,15803689,Begum,647,Female,51,1,2,0,54955,1
586,15718057,Onyinyechukwuka,760,Female,51,2,1,0,179615,1
587,15722010,Zuyev,621,Male,53,9,1,1,35588,1
590,15591047,Ma,519,Female,47,6,2,0,147278,1
599,15637476,Alexandrova,683,Female,57,5,1,0,9222,1
603,15782569,Stout,687,Female,72,9,1,0,69829,0
607,15661249,Bellucci,699,Male,53,4,2,0,111308,0
610,15586585,Duncan,698,Female,51,2,1,1,86410,0
613,15619857,Crawford,605,Female,64,2,1,1,13602,0
618,15766575,Larionova,612,Female,62,8,1,1,193438,1
623,15636444,Craig,535,Female,53,5,2,1,75889,0
625,15745307,Ch'iu,477,Female,48,2,1,0,26476,0
628,15605447,Palermo,752,Male,49,2,1,1,7699,0
629,15589030,Ts'ai,649,Male,47,1,2,1,145594,0
631,15712403,McMillan,589,Female,61,1,1,1,61109,1
632,15811762,Pickering,583,Female,54,6,1,1,57554,1
636,15633648,Jideofor,696,Female,51,5,2,1,55022,0
638,15583725,Mairinger,682,Male,48,1,1,0,168840,0
641,15784844,K'ung,752,Male,48,5,1,1,156618,1
651,15730447,Anderson,629,Female,49,4,2,1,196335,0
652,15813850,Christian,720,Male,52,7,1,1,14781,0
654,15664610,Campbell,459,Male,48,4,1,1,19287,1
658,15698474,Sagese,601,Female,54,1,2,1,199662,0
659,15568595,Fleming,544,Male,64,9,1,1,124341,0
662,15699637,Anenechi,694,Male,57,8,1,1,117705,0
664,15788659,Howells,695,Male,46,4,2,1,137537,0
669,15640825,Loyau,695,Male,46,3,1,1,56298,0
671,15576368,Bledsoe,624,Female,48,3,2,0,30020,0
679,15810978,Pugliesi,788,Female,70,1,2,1,41611,0
681,15780804,Nucci,482,Male,55,5,1,0,78416,0
682,15613880,Higinbotham,591,Male,58,5,1,0,137255,0
689,15802741,Mitchel,625,Female,51,7,1,1,38867,1
696,15748625,Napolitano,664,Male,57,6,2,1,15304,0
697,15727299,Edgar,445,Male,62,1,1,1,76570,1
698,15620204,Walker,543,Female,57,1,2,1,120657,1
703,15603436,Savage,594,Female,49,2,2,0,123215,0
711,15722548,Fisher,540,Male,48,0,1,0,116973,0
721,15721658,Fleming,672,Female,56,2,2,1,150694,1
730,15612525,Preston,499,Female,57,1,1,0,131372,1
735,15612966,Milani,545,Female,60,7,1,0,176924,1
736,15784209,Tang,497,Male,47,6,1,1,90055,0
737,15794278,Romani,816,Male,67,6,1,1,72814,0
739,15661036,Davis,725,Male,46,6,2,1,161767,0
744,15641675,Kirillova,611,Female,49,2,3,0,161435,1
745,15670755,Shaw,650,Male,60,8,2,1,102926,0
748,15587535,Onyemauchechukwu,450,Female,46,5,1,1,54227,0
750,15698839,Okwudilichukwu,460,Male,46,4,2,1,126953,0
752,15634245,Muecke,758,Female,47,9,1,1,73294,0
760,15625944,Buccho,664,Male,58,5,1,1,60888,0
767,15810864,Williamson,700,Female,82,2,2,0,182055,0
768,15677921,Bobrov,720,Male,60,9,2,0,157552,1
770,15685329,McKenzie,531,Female,63,1,1,0,24507,1
775,15789158,Nikitina,636,Male,49,6,2,1,158887,1
777,15712551,Shen,622,Female,58,7,1,1,120416,1
785,15571221,Bergamaschi,747,Male,58,7,1,1,190696,1
790,15653253,Pagnotto,704,Male,48,8,1,1,173498,0
792,15643696,Young,611,Male,49,3,2,1,142918,0
793,15707473,Summers,850,Female,48,6,1,1,111756,0
797,15668747,Virgo,702,Female,46,9,1,0,109563,0
801,15747542,Perez,605,Male,52,7,2,1,173953,0
806,15756026,Hooper,790,Female,46,9,1,0,14680,1
808,15798906,Cox,628,Male,69,5,2,1,181965,0
809,15708917,Martin,598,Male,53,10,1,1,136887,0
812,15649992,Alexander,681,Male,65,7,2,0,190420,0
824,15757811,Lloyd,732,Female,69,9,1,0,110932,1
827,15660535,Avent,680,Female,47,5,2,1,179843,0
828,15666633,Huang,758,Male,56,1,2,1,10643,0
838,15589488,Ch'eng,686,Female,56,5,1,1,80554,0
839,15585888,Nwokezuike,553,Female,48,3,1,0,30731,1
841,15707567,Esposito,732,Male,50,6,1,0,91936,1
846,15592222,Lo,505,Male,49,7,1,0,135180,0
849,15646558,Clamp,611,Male,51,1,1,1,149648,0
851,15572265,Wu,646,Male,46,1,2,1,45041,0
852,15794048,Wan,667,Female,48,1,2,0,113317,1
855,15601589,Baresi,675,Female,57,8,2,0,95463,0
857,15693864,Iheanacho,567,Female,49,5,1,1,93954,1
860,15809087,Landry,598,Male,64,1,2,1,195635,1
864,15614215,Oguejiofor,717,Male,53,6,2,0,97615,0
868,15756804,O'Loghlen,636,Female,48,1,1,1,110510,1
881,15585362,Simmons,749,Female,60,6,1,1,17979,1
885,15777211,Herrera,515,Male,65,7,1,1,142548,0
889,15702968,Artemieva,733,Male,74,3,1,1,134590,0
894,15772781,Ball,703,Female,51,3,3,1,77295,1
903,15792388,Li,645,Female,48,7,1,1,149139,0
905,15794580,Ch'en,599,Male,58,4,1,0,176407,1
908,15724848,Oluchukwu,516,Female,46,1,1,1,115789,1
912,15746490,Wollstonecraft,648,Female,53,6,1,1,121542,0
916,15775625,McKenzie,596,Male,47,6,1,1,74836,0
922,15743411,Chiawuotu,609,Male,61,1,1,1,22448,1
923,15753337,Yeates,555,Male,51,5,3,1,189123,1
929,15677135,Lorenzo,520,Male,61,8,2,1,90304,0
937,15613630,Tang,775,Male,52,8,1,1,96823,1
943,15804586,Lin,376,Female,46,6,1,1,157334,1
949,15783659,Blackburn,659,Male,67,4,1,1,131043,0
950,15620981,Wickham,684,Female,48,3,1,0,21228,1
951,15630328,Bird,635,Female,48,8,2,1,43250,0
953,15606149,Wood,571,Female,66,9,1,0,189272,0
958,15731522,Ts'ui,771,Female,67,8,2,1,51220,0
964,15731815,Nepean,529,Male,63,4,3,1,108733,1
970,15605926,Sinclair,649,Male,70,9,2,0,107126,0
971,15805955,L?,638,Female,48,10,1,1,47679,0
979,15799515,Wei,652,Female,48,8,1,1,77764,0
980,15642937,Padovesi,550,Female,46,7,2,1,130590,0
990,15681206,Hsing,722,Female,49,3,1,1,140766,1
998,15608114,Manfrin,587,Male,62,7,1,0,6777,0
1006,15701602,Ayers,521,Male,52,5,3,0,53793,1
1010,15750765,Sanders,650,Male,71,0,1,1,175381,0
1021,15654673,Onyinyechukwuka,625,Male,49,6,1,1,165581,1
1023,15765014,Mai,547,Female,48,1,2,0,69263,0
1030,15688071,Collins,609,Male,53,10,1,1,154643,0
1035,15689176,Fabro,663,Male,46,3,2,0,176276,0
1040,15577478,Ch'iu,714,Female,72,3,1,1,86734,0
1041,15780870,McKay,580,Male,67,3,1,1,7419,0
1048,15793949,Cheng,726,Female,48,4,1,1,114020,1
1052,15715003,Ko,625,Female,49,2,1,1,20019,0
1054,15798348,Chukwuebuka,600,Female,50,6,1,1,50489,0
1056,15769499,Lampungmeiua,545,Female,74,3,2,1,161327,0
1058,15706534,Enyinnaya,581,Female,47,1,1,0,180252,1
1061,15650933,Ma,490,Female,48,8,1,1,187921,0
1067,15688963,Ingram,731,Female,52,10,1,1,24999,1
1069,15680303,Gibson,594,Male,57,6,1,1,19377,1
1071,15648075,Hebert,686,Female,47,5,1,1,173180,1
1072,15586970,Pinto,695,Male,52,8,1,1,22486,0
1090,15649744,Fallaci,628,Female,51,3,2,1,40546,0
1106,15624293,Mironova,514,Female,46,3,1,1,55072,0
1111,15592229,Mullan,713,Female,52,0,1,1,46370,1
1112,15798424,Glover,833,Male,59,1,1,1,30723,1
1115,15626147,Maclean,608,Female,62,8,1,0,175836,1
1116,15626608,Howarde,479,Male,48,5,1,0,85646,0
1118,15592583,Colman,731,Female,47,1,3,0,191735,1
1119,15759381,Johnson,617,Male,61,7,1,1,101840,0
1123,15789955,Hu,698,Male,56,1,2,0,93982,1
1126,15645316,Han,612,Female,58,1,1,1,115161,0
1140,15569247,Mitchell,727,Female,57,1,1,0,753,0
1157,15741295,Yefimova,615,Male,49,3,2,1,49872,0
1158,15811327,Pan,700,Male,54,1,1,0,139736,0
1159,15690007,Ts'ui,434,Female,58,9,2,1,60892,1
1166,15723907,Lawless,712,Female,49,5,2,0,196258,0
1179,15782454,Hancock,552,Male,49,4,1,1,190297,1
1185,15755649,Winter-Irving,584,Male,47,7,1,1,92916,0
1188,15719302,Brennan,765,Female,50,9,1,1,79580,1
1193,15589572,Otutodilichukwu,785,Female,61,4,2,1,170215,1
1202,15651052,McMasters,399,Male,46,2,1,1,139995,1
1206,15724307,Mitchell,780,Male,76,10,1,0,64872,0
1209,15616451,Genovese,697,Female,47,6,1,1,168053,0
1211,15658969,Gray,711,Male,51,7,3,1,38410,1
1216,15625080,Parkin,745,Female,54,8,1,1,173912,1
1223,15616280,Hsia,536,Male,46,1,1,1,61095,0
1224,15654229,O'Neill,699,Male,47,1,2,0,30117,0
1225,15628298,Johnstone,500,Female,47,8,1,1,179227,0
1226,15733387,Pham,707,Female,53,6,1,1,52110,0
1233,15607537,Crawford,587,Male,46,9,1,1,139431,1
1235,15684865,Lucchesi,771,Female,66,7,1,1,130828,0
1236,15600700,Pan,523,Male,63,6,1,1,119405,0
1247,15721189,Kung,666,Female,66,7,2,1,99793,0
1253,15658306,Lo,693,Male,68,4,1,1,61569,0
1254,15699523,Chu,499,Female,55,4,2,1,123270,0
1255,15610383,Dumetolisa,628,Female,46,1,4,1,31272,1
1256,15615032,Peng,624,Male,46,3,2,1,62825,0
1266,15662291,Davidson,534,Female,55,8,3,1,122067,1
1279,15641690,Hsiao,681,Male,67,7,2,0,163715,0
1282,15779182,Chia,790,Male,46,8,1,0,139266,1
1285,15742229,Mackay,583,Male,59,7,1,0,67553,0
1286,15658532,Nnamutaezinwa,520,Female,63,5,1,1,34765,0
1297,15803365,Coffee,653,Male,55,2,1,0,62348,0
1306,15800434,Burgess,811,Male,52,10,1,0,146360,1
1307,15709117,Fanucci,823,Female,46,3,1,1,28371,1
1308,15638806,Blackburn,645,Male,49,2,2,0,10023,0
1315,15644833,Duncan,675,Male,54,2,1,1,149584,1
1321,15596493,Wisdom,687,Female,47,7,2,1,177624,0
1324,15629244,Bryant,635,Male,50,7,2,0,54561,1
1326,15729975,Chidozie,613,Female,46,8,1,0,44390,0
1329,15574331,Alexeeva,593,Female,62,3,1,0,24766,1
1331,15742854,Lettiere,640,Female,46,8,2,1,89043,0
1339,15612108,Norman,625,Male,52,5,1,1,67788,0
1340,15761132,Capon,682,Male,46,7,1,1,62615,0
1343,15640268,Avdeeva,652,Male,71,4,1,1,120107,0
1352,15635435,White,648,Female,54,9,1,0,5924,1
1353,15596552,Stephens,535,Male,48,5,1,1,58204,1
1355,15683403,Lombardi,611,Male,52,7,1,0,73585,1
1357,15769005,Hayward,709,Male,49,4,2,1,38795,0
1370,15722902,Chizuoke,652,Male,50,8,1,1,17161,1
1374,15771942,Tikhonov,528,Female,46,9,1,1,133146,1
1385,15690647,Rogers,582,Female,46,8,1,1,44506,1
1388,15674526,Byrne,725,Male,66,4,1,1,141477,0
1390,15684196,Aitken,627,Female,55,2,1,1,100686,1
1396,15697095,Zetticci,705,Male,46,7,2,1,117273,0
1398,15754796,Byrne,487,Female,46,4,2,1,44244,1
1408,15600821,Hardy,721,Male,69,2,1,1,178418,0
1411,15710164,P'eng,523,Female,73,7,2,0,130884,1
1428,15799966,Chigolum,792,Female,59,9,1,0,161479,1
1429,15794560,Maclean,550,Male,57,5,1,1,133502,0
1432,15809772,Glover,667,Male,48,2,1,1,43229,0
1434,15585282,Trevisano,755,Male,62,1,2,0,142378,0
1439,15574068,Norman,504,Male,56,9,1,0,55857,1
1440,15806967,Simmons,778,Female,65,7,1,1,77867,0
1448,15697311,Nebechukwu,697,Male,56,5,1,1,50230,1
1449,15585367,Diribe,555,Female,46,4,1,1,177720,1
1454,15714227,Kelly,672,Female,53,7,1,1,136910,0
1458,15590320,Shelton,850,Male,66,4,2,0,64351,0
1460,15571778,Trentini,817,Female,55,10,1,1,95942,1
1469,15814846,Ozerova,691,Male,52,3,1,1,175844,1
1470,15670374,Wright,819,Female,49,1,4,0,166164,1
1472,15700223,Steiner,806,Male,48,4,1,1,21439,0
1486,15700212,Shih,475,Female,46,10,2,0,122953,1
1488,15716491,Akabueze,710,Female,51,4,1,0,141401,1
1493,15744517,Esposito,735,Male,50,9,1,0,166677,1
1495,15808189,Woodard,449,Male,52,6,2,0,123622,0
1496,15580845,Chienezie,685,Male,57,7,1,0,113484,0
1501,15590146,Mao,630,Male,50,1,1,0,63606,1
1504,15762277,Jamieson,710,Male,47,5,1,0,83500,1
1506,15798975,Doherty,606,Male,48,4,1,0,36092,1
1518,15812071,Endrizzi,744,Male,54,6,2,0,140069,0
1520,15738267,Macarthur,544,Female,64,3,1,1,111403,1
1521,15786800,Gould,723,Male,52,5,1,0,92874,1
1525,15653595,Ts'ai,796,Male,51,6,2,0,194733,0
1535,15782736,Jose,573,Female,47,4,1,0,164038,1
1544,15747677,Gordon,656,Male,69,6,1,1,36109,0
1547,15727944,Simpkinson,701,Female,48,1,1,1,133992,0
1550,15584364,Trentini,652,Male,48,4,1,1,163944,1
1551,15599552,Conway,639,Female,54,2,2,1,53844,0
1552,15749177,Maslow,730,Female,52,7,2,0,122399,0
1568,15683124,Evans,713,Male,53,6,1,0,191521,1
1571,15607133,Shih,717,Female,49,1,2,1,124533,1
1589,15758035,Bateson,747,Male,61,7,1,0,147554,0
1599,15647842,Cunningham,601,Female,48,8,1,1,63941,1
1602,15594404,Bevan,834,Female,49,8,2,1,129274,0
1608,15648721,Hsueh,711,Male,64,4,2,1,3186,0
1612,15781553,Chung,760,Female,49,9,1,1,117233,1
1613,15649121,Pinto,665,Male,52,3,1,1,116137,1
1615,15646037,Sopuluchi,641,Male,77,9,3,1,81514,0
1617,15665695,Potter,594,Female,49,4,2,1,23632,0
1630,15595303,Johnston,736,Male,46,5,1,1,77982,1
1631,15634950,Obiajulu,657,Male,57,8,1,1,126370,1
1632,15685372,Azubuike,350,Male,54,1,1,1,191973,1
1641,15661528,Ashbolt,583,Male,47,5,1,1,92708,0
1642,15754177,Bazarova,712,Male,53,2,2,0,26542,0
1643,15683544,Buccho,626,Male,62,3,1,1,65011,0
1647,15651533,Brown,570,Female,50,5,1,1,177805,1
1653,15675501,Woods,616,Male,59,5,1,1,17699,0
1654,15633233,McFarland,500,Male,56,1,1,1,118491,1
1656,15659105,Borchgrevink,669,Female,47,9,1,1,58170,0
1658,15752342,Bradley,704,Female,54,6,3,1,145071,1
1665,15791991,Udinesi,773,Male,52,4,1,0,144113,0
1667,15579706,Curtis,611,Female,46,5,1,1,77677,1
1668,15718247,Hayden,606,Female,46,8,2,1,183718,0
1684,15709387,Obiajulu,711,Male,52,5,1,1,159809,0
1699,15807595,Ijendu,485,Male,51,7,2,1,51113,0
1702,15605279,Francis,792,Male,50,9,4,1,194701,1
1709,15772892,Robertson,699,Female,49,2,1,0,105760,0
1713,15744983,Burgmann,712,Male,47,1,1,1,95720,0
1720,15746970,Townsend,760,Female,57,1,2,1,25101,0
1733,15680727,Fang,735,Male,49,5,1,1,148804,0
1743,15578603,Alexeieva,584,Female,54,1,1,0,138193,1
1747,15765694,Bage,584,Female,59,1,1,0,130260,1
1756,15778410,Clarke,533,Female,52,7,1,0,194114,1
1768,15596397,Kelly,814,Female,48,7,2,1,132870,0
1791,15625641,Forbes,697,Female,74,3,2,1,16446,0
1799,15610446,Chinedum,714,Female,51,4,3,0,5863,1
1801,15794122,Otutodilinna,713,Female,59,3,2,1,62700,0
1808,15605037,Ting,818,Female,49,2,1,0,192299,1
1810,15770435,McLean,639,Female,50,6,2,1,53130,0
1811,15592994,Zikoranachidimma,651,Female,65,0,2,1,190454,0
1824,15711219,Jennings,788,Female,57,8,1,1,180150,1
1835,15694188,Obidimkpa,700,Female,46,5,2,0,45424,0
1838,15619343,Mahmood,561,Male,56,7,2,1,133167,1
1840,15761374,Bellucci,706,Male,54,9,1,1,186239,0
1845,15699634,Howard,667,Female,48,2,2,1,148608,0
1852,15633640,Loewenthal,799,Female,52,4,1,1,89081,0
1856,15570601,Cheng,785,Female,47,9,1,1,33824,1
1859,15780746,Tyndall,705,Male,61,4,2,1,191314,0
1867,15632575,Moore,559,Female,70,9,1,1,122997,0
1873,15706593,Ellis,850,Female,50,10,2,1,33742,0
1878,15643630,Quaife,770,Male,55,9,2,1,185211,1
1889,15663921,Pisani,429,Male,60,7,2,1,163691,0
1895,15783398,Rizzo,535,Female,49,7,1,1,111422,0
1902,15781034,Mason,796,Male,67,5,2,0,54871,0
1905,15677382,Miller,625,Female,69,1,1,1,182336,0
1908,15810786,O'Toole,620,Female,67,3,2,1,43487,0
1909,15626983,Ledford,605,Female,48,6,2,1,40063,0
1917,15812198,Chen,543,Male,48,1,1,0,33311,1
1920,15739858,Otitodilichukwu,618,Male,56,7,1,1,142400,1
1929,15716609,L?,484,Male,54,3,1,0,49955,1
1933,15586993,Giordano,655,Female,56,5,2,1,41783,0
1934,15815560,Bogle,666,Male,74,7,1,1,46172,0
1948,15657812,Ch'iu,688,Male,52,1,2,1,172034,0
1952,15589793,Onwuamaeze,604,Male,53,8,1,1,190999,1
1955,15600734,Townsend,624,Male,51,5,2,1,172373,0
1956,15779176,Dike,565,Female,58,3,3,0,135876,1
1957,15605286,Moyes,565,Male,55,4,2,1,128125,1
1958,15674922,Beavers,710,Male,54,6,1,1,167024,1
1963,15692416,Aikenhead,358,Female,52,8,3,1,141959,1
1967,15638463,Okwudilichukwu,681,Female,48,8,1,1,163582,0
1982,15630913,Rosas,476,Female,69,1,1,0,134260,0
1986,15627876,Pavlova,719,Female,47,9,1,1,63051,1
1988,15758606,Yamamoto,738,Male,54,4,1,0,55725,1
1989,15657107,Angelo,563,Female,46,8,1,1,163146,1
1994,15787189,Tai,824,Male,60,8,3,0,153046,1
1995,15666055,Rowe,705,Female,49,7,1,1,63405,1
1997,15755678,Kovalyov,534,Male,62,2,2,0,42763,1
2001,15613656,Lombardi,842,Male,58,1,1,1,83172,0
2003,15657214,Hsia,601,Male,74,2,2,0,51555,0
2010,15732917,Li,729,Male,46,5,1,1,104017,1
2011,15612050,Castiglione,556,Female,48,8,1,1,151310,0
2013,15780124,Blair,841,Male,74,9,1,0,60830,0
2028,15606613,Samson,655,Female,59,7,1,1,88958,1
2032,15591357,Cowger,765,Male,51,3,1,1,115429,0
2039,15710743,Onwuamaeze,621,Male,47,0,1,1,133831,1
2040,15595831,Shen,579,Female,64,6,1,1,164084,0
2051,15797160,Glover,492,Female,49,8,1,1,182865,1
2054,15610686,Melton,850,Male,63,8,1,0,184107,1
2059,15787655,Chu,707,Male,47,3,2,1,174303,0
2060,15668081,Capon,581,Female,50,4,2,1,80702,0
2074,15573309,Ward,626,Female,48,2,2,1,95795,0
2079,15815626,Oluchi,640,Male,63,2,2,1,112503,1
2081,15813412,Barlow,721,Female,55,3,1,1,65864,1
2088,15687658,Burgin,716,Female,52,7,2,1,14608,1
2094,15806132,Martin,555,Male,55,4,1,1,74150,0
2095,15813022,Kapustina,531,Male,70,1,2,0,99503,0
2100,15593295,Greathouse,548,Male,57,6,1,1,133538,0
2102,15778934,Napolitani,678,Female,49,8,2,0,98091,0
2104,15630241,Tretyakova,594,Male,61,3,1,1,192434,0
2107,15659931,Ibezimako,637,Female,55,1,1,1,81432,1
2109,15634949,Hay,593,Male,74,5,2,1,65532,0
2111,15795990,Lumholtz,722,Female,48,10,1,1,3473,1
2116,15718893,Pirozzi,404,Female,54,4,1,1,83716,1
2121,15651554,Anenechukwu,618,Female,54,4,1,1,133573,1
2136,15704284,Ekechukwu,736,Male,57,9,1,1,28434,1
2140,15765518,Gregson,643,Female,51,2,1,1,34968,1
2147,15594349,Streeten,850,Male,49,5,1,0,59748,0
2150,15648794,Giordano,836,Male,57,4,1,1,37142,1
2152,15588614,Walton,753,Male,57,7,1,1,159475,1
2153,15630698,Hay,745,Female,55,9,1,0,51548,1
2155,15721426,Milne,606,Male,65,10,3,0,7862,1
2160,15641835,Anderson,683,Male,72,3,1,0,52876,0
2165,15794479,Becker,767,Male,77,8,1,1,190147,0
2169,15805260,Wood,705,Female,56,2,1,1,88428,1
2172,15747174,Hao,526,Male,58,9,2,1,191264,0
2174,15649738,White,698,Female,46,0,2,1,125962,0
2182,15738605,Fischer,634,Female,46,5,1,1,49725,1
2191,15609998,Okwudilichukwu,700,Female,59,5,1,1,142977,1
2192,15583548,Harrison,525,Female,47,6,1,1,82523,1
2196,15735246,Norman,798,Female,58,9,2,0,119072,1
2197,15791700,Ugochukwutubelum,773,Male,47,2,4,1,143007,1
2199,15573876,Chia,473,Male,48,8,2,1,71140,0
2209,15809826,Craigie,728,Female,46,2,1,1,20277,1
2217,15627484,Obielumani,686,Female,47,5,1,1,124171,0
2221,15806049,Lee,714,Female,49,5,1,1,141915,0
2225,15691723,Chukwudi,631,Male,55,9,1,1,114475,0
2227,15750808,Ma,790,Male,46,2,2,1,180291,0
2228,15744368,Sun,633,Male,58,6,1,1,132034,0
2236,15633930,Yobachukwu,648,Female,56,6,2,1,140991,1
2245,15756305,Marchesi,515,Female,66,6,2,1,160663,0
2246,15578799,Anayolisa,625,Female,58,10,1,1,192072,1
2261,15623927,Alexander,576,Male,55,9,2,1,94451,0
